bmi_<20,bmi_20-25,bmi_25-30,bmi_30+
AL662844.4,M6PR,OLFML2B,HS2ST1
RXFP1,TRIM28,AC106882.1,SPART
CCDC82,RPL30,AC022655.1,SMYD3
KIAA1958,MARCKS,MPHOSPH8,RGL1
NUAK1,SV2A,AC010175.1,TNRC6A
CTSZ,RPS19,ETV1,CDK5RAP2
IQSEC1,CHRNE,LINC01550,ANKS6
HMGN5,ARF3,ZDHHC19,VPS8
SIDT1-AS1,S100A6,WNK4,AC139887.2
FMNL3,FSCN1,LMNTD1,DCAF5
BBC3,KIAA0513,GTF2H2,HECTD4
AL157769.1,SIRT7,GADL1,CMIP
SLC12A5,NAP1L3,DENND6B,SPATA6
SF1,PRPF19,AC079793.1,TTLL11
CDCP1,BEX4,SVOP,WNK2
MUC20,H3F3A,PALM,MIA3
GAS1RR,TCEAL7,HLA-DRB1,ATRX
MSLNL,SLC25A4,NPY2R,ASAH1
NAPRT,ERH,AC010503.1,PLEKHA6
ZNF428,AC009107.2,AC009315.1,NSF
NYAP1,SHCBP1,PCED1B,LUZP1
AF117829.1,TFAP2E,AL392086.3,ROCK2
TTC4,MLST8,TMEM108-AS1,TPST2
AL355472.3,RNF208,PDE4B,E2F3
ALG1L2,POLR2A,ABCC9,PGAP1
AC024257.3,DHRS4L2,CRYZ,PPP2R5C
TIMP3,BRD2,AC136628.4,ARHGEF7
KIF25,ARPC5L,DDO,RPS18
SUN1,AC090825.1,LINC00637,KMT2C
AC005537.1,CNBP,LINC02296,NMT2
LINC01937,L1CAM,AJ239322.1,PREPL
ABTB1,LINC00641,AL138686.1,CAPZB
AC103855.3,MFSD4A,AL009176.1,SCN2A
GABRA6,AC126544.2,LINC00106,EPHA4
AC064875.1,TEKT5,PID1,HSPE1
KDM2B-DT,IRS2,SMOC2,CDC42BPB
PNMA8B,PKM,ELAVL3,HIVEP3
AC079781.5,SYNPO,AL162493.1,PGM2L1
THEM4,HERPUD1,NMRK1,VSNL1
ARL17B,RPS26,CLPSL1,RNF149
LZTS1,PTPA,AC007922.2,RAI1
RASL10A,TTYH3,CSF2RA,CHD2
TMEM266,EIF1AX,AC092059.1,UPF3A
LINC02822,TSPYL4,AL109933.5,ARMC2
KCNJ4,SC5D,AC020930.1,SLC12A5
ZNF436-AS1,CRIM1-DT,AC079163.2,HSP90AB1
SNRNP70,RPS8,CPLX3,SELENOW
SCN1B,FBLL1,AC107391.1,NDUFB2
ANTKMT,PRR7,AL606516.1,IQSEC3
MFN1,TUBA1B,LINC01700,GCC2
TNFSF12,NCL,MROH6,TMEM120B
LINC02306,UPK3BL1,AL445207.1,FOXO3
MRPL41,SHF,AC046195.2,AP001347.1
AC097534.2,NFE2L1,AL022151.1,FAR1
CPS1,PDE1B,GPR1,PAK1
SRSF7,UNC5A,EPHA7,SUGP2
ARFGEF2,DEDD2,C8orf34-AS1,UNC79
ILK,KLF16,LINC01312,MAGI3
EPHB6,RPL23A,PTDSS2,SNRPN
DHDDS,COPS8,LINC01735,PKNOX1
AC022325.2,MEF2D,ANKRD18A,DOCK9
AC009262.1,HYOU1,LINC02301,AL731769.2
ADCY1,RAB1B,CDH4,MBNL1
WDR64,GPSM1,AL355834.2,TENM2
ATP8B1,ZSCAN31,SLC25A29,UBQLN1
TSC1,ACTG1,ADGRG2,TMEM178B
KCNS2,PSMB4,LINC02645,GPATCH2L
KDM2B,VPS4A,ODF3B,NME7
