,bmi_<20,bmi_20-25,bmi_25-30,bmi_30+
27533,SIGLECL1,AC092941.1,CLIC5,AC022730.3
27534,LINC01618,AC090505.2,AC104335.2,AL031121.3
27535,AC034187.1,CARS-AS1,PPP1R26-AS1,AC027514.2
27536,AP001136.1,AC093157.1,ZNF853,NKG7
27537,AC007529.2,AC103703.1,ZKSCAN4,AC087878.1
27538,LINC00630,GRTP1-AS1,LINC02153,LINC01694
27539,TBC1D22B,MAP3K21,ZCCHC9,AL137001.2
27540,AL731574.1,AC114730.3,SESN2,AC008556.1
27541,AC023282.1,AC013799.1,DERL2,AC012506.1
27542,PLS1,GPR135,CFAP410,AC004832.6
27543,AP005136.3,SMYD2,AHCY,AC034229.4
27544,C5orf49,AC063952.4,ING4,TUBA3E
27545,CPLX4,ATXN3L,NEK6,NPY
27546,ZNF114-AS1,BTBD9-AS1,ACTR8,AC068768.1
27547,RHOT1,AL137802.1,AC007255.1,AC097491.1
27548,NLRC5,AC098679.6,AL078600.1,AC017015.2
27549,AC090425.3,LINC02238,NIPSNAP3B,AC064843.1
27550,ALX1,GK-AS1,ZBED3,AL096869.1
27551,AL022328.2,AC012100.2,KIAA0040,RFPL3
27552,PNKP,TLX1,BCL9L,LINC02411
27553,CASC20,AC105935.1,PSME4,TPM1-AS
27554,AC005162.3,CYLC1,PAX2,SERPINA9
27555,AC005264.1,ZNF284,HIVEP1,AP001437.1
27556,COG5,CCDC68,MRPL28,AL109924.2
27557,EIF4A3,ERI3-IT1,GNE,AC131210.1
27558,ITPR3,CASC22,AC008467.1,HIST1H2AB
27559,ABALON,AL513123.1,MGAT4C,AC116609.2
27560,AC100763.1,AC087897.2,KIF7,AL139254.3
27561,AP000317.1,C19orf71,FASTKD5,CYP2F1
27562,LINC00989,AC234781.1,SYN1,AC090371.1
27563,ZNF718,AC008496.3,CCDC9,LINC02091
27564,ONECUT3,GNAS-AS1,HRH1,AL359962.3
27565,TBC1D7,XIRP2-AS1,MAST3,SP7
27566,TMEM19,GPX5,FKBP8,AC007603.1
27567,CACNA1G,POGZ,JUND,AC002398.2
27568,AL355314.1,LINC02087,CES2,AC105343.1
27569,AC015712.4,ARHGEF3,CSRP2,AC106900.1
27570,AL135787.1,AC010230.1,ZNF235,SLC38A4
27571,AC005323.2,CNGB1,EXOSC9,LY6G6F
27572,AC010896.1,CSTL1,ESD,AC106782.5
27573,LINC02509,CXADR,TMEM68,AC007106.1
27574,AC008556.1,AC138915.3,SHB,LINC00381
27575,SHCBP1L,LINC02299,MYCBP,KLHL6-AS1
27576,AL445648.1,ITGA3,CPNE9,AC005845.1
27577,NKX6-2,AL591686.1,CERS5,AC092755.1
27578,PIK3CD-AS2,GPRC5D,MT1E,AC022079.1
27579,LINC02477,FAM170B-AS1,LIMK1,AL591069.1
27580,SLC25A52,AC092435.1,AL049629.1,AC099313.1
27581,LINC00523,AP001775.2,CD247,MS4A3
27582,JPT2,LMLN2,EXD3,LINC02101
27583,MALSU1,NOTCH2NLC,VHL,AC007036.5
27584,LIN28A,AC104964.3,NSMF,AL138767.2
27585,MAATS1,AL392048.1,NOP2,AC123788.1
27586,HES2,AC023468.1,ADCK2,AL031767.2
27587,EEF1AKMT3,AC124276.1,KIAA1211L,TNS4
27588,AP002336.1,SPRR2F,BCORL1,AL591503.1
27589,SIK1B,AC104211.3,GFAP,CCDC15-DT
27590,GLP1R,Z83843.1,CTBP1-DT,AP001057.1
27591,AC006116.4,AC055788.2,DIRC3-AS1,AC236972.3
27592,STRIT1,AL117328.2,MYNN,RORC
27593,KIF27,AL391832.1,GIPR,AC084125.3
27594,WBP4,UGT2B28,SLC26A10,AC121757.2
27595,SNAP29,LCN1,AC069120.1,AL359894.1
27596,C8orf33,IGHG3,AC079296.1,UNC93A
27597,AC104063.1,AC023421.2,TCEA3,AC217774.1
27598,AC092436.3,AC100861.2,SLC22A9,AC103987.2
27599,TNFSF4,FP236315.1,ITGAE,AP001198.1
27600,SIPA1L2,SERPINA12,SIRT7,AC091185.1
27601,AC012564.1,OR2L8,C1orf122,AL583809.1
27602,TMEM238,H2AFB3,GRHL1,LINC01906
27603,LINC02644,AC017006.1,DDX31,AL136531.1
27604,AC009154.1,AC007182.1,GTF3C2,CR936218.1
27605,ZNF664,KRT7,ERAL1,HIST2H4B
27606,LINC02550,AC005277.2,HDHD2,RNF39
27607,RASD1,BRDT,FAM210B,CCDC182
27608,ZNF830,AC048337.1,THAP10,AP002957.1
27609,AC104984.5,AL353648.1,ACAD9,LINC02466
27610,AC078980.1,AC019270.1,SGSM2,AC010425.1
27611,AC021739.5,AC015983.2,SEC61A1,AC127002.2
27612,HIST1H3G,TUBD1,OSGEPL1,FOXD4L4
27613,LARS2-AS1,AC087885.1,ROCK1,SCP2D1
27614,LINC02045,OCSTAMP,AC009163.1,AC024996.1
27615,AC012511.2,XIAP-AS1,MANF,PRSS57
27616,CLEC19A,IFNK,CTXN1,AC091133.4
27617,ZNF346-IT1,AC092127.2,BPHL,AC005803.1
27618,NUDT6,AP001267.4,CTXN2,LINC01760
27619,LINC01775,AC100821.2,MESP1,AC011287.2
27620,GALNT1,AC067945.3,SMIM20,AC107220.1
27621,AP000462.3,ITGAM,ZNF277,LINC02017
27622,TBX5-AS1,AL356123.1,CRTC1,IQCF3
27623,ASB16,PROZ,EBPL,AL031963.2
27624,MUC15,AC005277.1,AC080162.1,FGF16
27625,AC130371.1,GDF2,MYBL1,AP002414.5
27626,LINC02803,AL049836.2,KLHDC9,AC243960.3
27627,CIB3,LEXM,SERPING1,AL360294.1
27628,VPS33B-DT,AC022182.2,SNX11,CU634019.2
27629,AC021698.1,AC073651.1,AC010198.2,AC080013.5
27630,DCSTAMP,SCUBE3,SNHG7,AC087318.1
27631,DIAPH2-AS1,LNCPRESS2,STK36,ANKRD60
27632,LINC01485,AL157369.1,KCTD18,C20orf187
27633,PPP4R2,APOBEC3G,CLSTN2,MYRF-AS1
27634,AC119424.1,TRAV8-5,SAC3D1,AC027031.1
27635,MELK,THOC7-AS1,AC005070.3,TNFRSF13B
27636,LINC01324,AC062029.1,PLCD3,MB
27637,AC018695.9,AC016405.1,AL162431.1,AC109630.1
27638,DDX47,VGLL2,PRRT2,HIST1H2BK
27639,CLK3,LINC02011,DEDD,GOLGA6A
27640,LACTB2-AS1,AC055716.3,AC091212.1,LINC02252
27641,NPY2R,LINC01796,AL117335.1,AC007639.1
27642,RABL2A,AL445253.1,LINC00571,AC005414.1
27643,AC023906.2,LINC02096,AC022762.1,AL032819.1
27644,AC124312.5,DSCAML1,TBC1D2B,HIST2H2AC
27645,AC011468.1,AC025370.1,AL031587.2,AP000553.9
27646,ERFE,AP006621.2,GPR146,AC003965.2
27647,DAAM2,LINC02769,CHST11,LINC02554
27648,VAT1,RBM12B,AC055733.2,AC010542.1
27649,AC068535.1,Z99755.2,DLC1,AC116351.2
27650,RASSF1-AS1,ZBBX,OR2M2,AL442067.2
27651,AC002563.1,AC108112.1,CYP20A1,RGPD4-AS1
27652,AC006146.1,AC090971.5,GK5,MYOZ1
27653,AL356489.2,AC093838.1,AC091045.1,AC084809.1
27654,PRDM9,AC019159.2,SHQ1,LINC00392
27655,PARP8,SERPINB10,ITGA9,ATP4B
27656,KIAA0556,AC100791.3,NRAS,AC079070.1
27657,AC012445.1,F2RL2,TMEM189,MMP26
27658,PRR20C,AC009093.1,ZNF330,CYLC1
27659,AC005262.2,LINC02707,AC002069.2,AC010547.2
27660,MRGPRX1,AC084026.2,RBBP8,AC133106.1
27661,OR12D3,AC015912.3,SYCE2,LINC00604
27662,CBWD1,BTBD7,UTP11,LINC02761
27663,ECI1,TMEM45A,MCC,AC068228.1
27664,ZNF616,AC092168.3,DUSP16,AP003721.3
27665,RCAN3,EPPIN,MRVI1-AS1,CD40LG
27666,AL360178.1,AL354916.1,CFAP52,ELSPBP1
27667,AL117328.2,FOXN4,ACSBG1,LINC02710
27668,KCTD19,AC009166.1,DCAF16,AC100872.2
27669,PLXND1,AF067845.5,AC084198.2,AC007327.2
27670,NOS1,AL035252.2,CD2AP,DUSP13
27671,CNTNAP3,AL158070.1,CARMIL2,AC004771.1
27672,DIP2A,STT3B,AC024075.2,AC021422.1
27673,ZNF341,BSN-AS1,BAP1,AL078590.1
27674,AL929091.1,AC090771.2,HSD17B7,MS4A15
27675,LINC01198,OR8B8,GSTZ1,CD3D
27676,TFE3,AC092617.1,DRICH1,AC007406.1
27677,GPR174,CD3G,GLT1D1,LINC02555
27678,SENCR,AC010595.1,CSGALNACT1,FGF10
27679,COL11A1,AP002336.3,KBTBD8,MAGEA10
27680,AATF,AC037486.1,RIT2,MGP
27681,PPP1R32,LINC02426,COLGALT1,LINC00567
27682,AC027020.2,AL451042.1,GSTO2,AC009271.1
27683,RBL1,LINCMD1,SEMA4G,AC138965.1
27684,AC091180.4,AC079226.1,MBNL1,AP000459.2
27685,LINC02482,AL592161.1,NT5C2,TRAV25
27686,BX004807.1,IAPP,RANBP3,AC008164.1
27687,AC012360.3,AC104365.3,ZNF124,NEGR1-IT1
27688,ZNF782,KCNJ6-AS1,CBLN1,AC011498.3
27689,MYNN,AL353693.1,CHPF2,AC084116.2
27690,CCDC171,AC110011.1,LINC01031,AC010761.3
27691,AL021707.3,TAB3-AS1,PTPRU,SLC17A2
27692,ITGB7,AC007350.1,SDF4,POU4F3
27693,LMNB2,RNF128,TTI1,AC004492.1
27694,AL365203.2,PATE3,AC027031.2,AL049775.3
27695,HIST2H3PS2,AADACL4,SLC14A2,SMIM2-IT1
27696,AC005999.2,LINC02791,EFNB3,AC135048.2
27697,AL162413.1,CSN3,ADAM11,LINC02109
27698,AC122694.1,LINC01475,LINC00937,AC138207.5
27699,AC023796.1,NCF1,SAMD14,GLOD5
27700,KMT5B,DNTT,PET117,LINC02763
27701,GRIN3B,AC009019.2,RABIF,AC007656.4
27702,AC092958.3,TBL1X,NOC2L,AC079466.1
27703,AC007271.1,TYW1,ZDHHC4,PEAK3
27704,AC008522.1,AC010424.3,LINC00299,AC116096.1
27705,AC083798.2,AC004674.1,TRIM52,ENOX1-AS2
27706,NAPA,GNA13,AFG1L,AC138356.1
27707,AL023653.1,AC027458.1,ZNF548,AC120024.1
27708,POT1,AP003352.1,KIAA0930,AC011511.3
27709,AL035696.4,IL1F10,AL445123.2,AC007952.5
27710,PAXX,IQCF5-AS1,PPP1R8,UGT1A8
27711,AC034231.1,OR51A4,KLHL5,AC010157.1
27712,RCHY1,ELOA3D,AL390195.2,AC009558.1
27713,IGHG4,AC032019.2,ZNF354C,TRABD2B
27714,TCEA3,AC091544.7,N4BP3,AL163973.2
27715,LINC02479,AC051649.1,CAV3,MIR4300HG
27716,ATP13A4-AS1,TRBV8-2,ZFP2,AC087442.1
27717,AC012181.2,KRTAP19-4,KBTBD3,AL360270.3
27718,AC016831.7,CST11,MCEE,AC117945.1
27719,RHPN1,AC108868.2,AC015853.3,AC025576.2
27720,SMAGP,AP000424.2,FAHD2A,PLA2G2E
27721,AL513323.1,TRAV26-2,RAB24,OR13C5
27722,AC108471.2,AC025280.1,CDC26,AC084167.1
27723,AC127537.1,AC092447.4,SPATA17,AP005273.2
27724,AC005696.2,AC063980.1,ARL2,AC023090.1
27725,AP000688.4,KRT25,UTP3,TMEM92
27726,AC027290.1,AL022724.2,STK39,AADAC
27727,LRPPRC,AP001043.1,AC112722.1,H2BFWT
27728,SMAD9-IT1,AL928654.2,AC106845.1,MIR583HG
27729,AC027514.2,LINC00519,GYG2,LINC02204
27730,AP002961.1,CCL14,THAP7,AL731537.2
27731,AC009163.4,AL132712.1,AL359915.1,LINC01168
27732,AC113192.3,AL357093.1,TRABD,GAST
27733,YJU2,AC009511.1,MCOLN1,AC091951.4
27734,TRIM65,AC005523.1,LBR,HCG14
27735,F2,BSX,ARHGAP31,AC055822.1
27736,AC010503.2,CYP4F12,TMEM250,AP001180.2
27737,TFAP2A-AS1,L34079.3,SPATS2L,AL591030.1
27738,HIST1H3J,ABCB9,WDR93,LINC01653
27739,MCRIP1,AC022898.1,ZC4H2,AC006305.3
27740,AL157838.1,AL590282.2,CALML4,AL513008.1
27741,SBK2,DEFB112,HAP1,AC012170.3
27742,PKN3,AL360013.3,RBM12B,AC004528.2
27743,DEPP1,RNASE7,AIFM3,AC096585.1
27744,CD300C,AC017048.2,IL3RA,MPZL2
27745,AC091096.1,AC021192.1,AL158801.3,AC009021.2
27746,SLC2A8,SUCNR1,AL590999.1,LINC02337
27747,AL079338.1,AL162151.3,RMI1,LINC02421
27748,FENDRR,AC074325.1,RNF217,AC011005.1
27749,CCDC142,LINC00211,METTL3,AL031779.1
27750,DICER1,AC020934.2,SPEG,AC019193.4
27751,AL138826.1,PCBP2-OT1,AC137932.2,SLC18A1
27752,MINAR2,AL391650.1,ACTR1A,AC092127.2
27753,PPM1F,AP005264.3,KCTD17,DIAPH3-AS2
27754,AL354754.1,AC100786.2,U2AF1,AL596247.1
27755,AC096736.1,TAF7L,ZNF789,AL122058.1
27756,AL360013.2,AC125793.1,RET,AL049833.1
27757,L3MBTL4-AS1,RPL34-AS1,RPL22L1,LINC02768
27758,AC108734.4,PKIA,BAG6,LINC01349
27759,LINC00629,IGF2,PML,LINC02562
27760,AL355607.2,AC007497.2,REXO2,LINC01785
27761,CHL1-AS2,USP41,PIGG,AC108673.2
27762,SELENOI,FCGR3B,EFCAB2,AC120498.10
27763,PCDH19,AL031658.1,HRAS,NLRP4
27764,LINC00879,GDF6,GET3,AP001652.1
27765,AC090987.1,LINC00514,AC233701.1,FAM230A
27766,LRRC8A,OR2T29,COQ9,CTAGE6
27767,NFIA-AS1,AP000919.4,ARMCX2,AL449043.1
27768,ZNF793-AS1,CCBE1,SETD1B,BMP8B-AS1
27769,AC020656.1,LINC00850,NPAS2,DNAJB7
27770,TTC28,AC137894.1,GAR1,KYNU
27771,LINC01232,AC126407.1,NVL,AC007272.1
27772,P4HA2-AS1,AC010201.1,PRSS51,AC104041.1
27773,LRRC56,C4BPB,EPN2,AC141273.1
27774,AL035603.1,PCDHB7,AC105411.1,AL023806.2
27775,AC138965.1,SPACA3,UGDH-AS1,NRIP2
27776,AL136537.1,AL163534.1,NEXN,AC027601.2
27777,AL590399.3,AL161663.2,ILDR2,AC099796.2
27778,GLS,SYT6,KLHL36,AL589946.1
27779,PAX9,OR4K17,STK40,AC117498.1
27780,C1GALT1C1,AP003354.1,RAF1,G6PC
27781,SLCO4A1-AS1,LINC02781,BAX,LINC00500
27782,SLC22A23,AC007920.1,MCRIP2,AL354809.1
27783,LINC01853,AP001922.3,KLHL20,AL008638.5
27784,HIST1H2AE,AC019080.6,OBI1,AC007656.1
27785,METTL9,AC012339.1,CC2D1B,KLK9
27786,AC022558.2,SCAF4,MRPL52,LINC01348
27787,COX6A1,LIPM,HEG1,LINC00421
27788,ZNF221,TECTB,ZBTB47,LINC02629
27789,KCTD9,AC026740.1,BAG2,AC018521.6
27790,AC108050.1,ATAD2,CYP3A43,CD2BP2-DT
27791,AC090099.1,AC068787.4,CELF2-AS2,AP003122.2
27792,NCOA3,LIMS4,CPSF2,AGBL5-IT1
27793,POLR3B,AC010451.1,AP000943.2,AL353135.1
27794,ANKRD30B,GOLGA6L6,HDAC7,AL136141.1
27795,AC008652.1,IQGAP1,PPAN,KLHL40
27796,AL121757.2,AC010997.5,GPAA1,AP006547.1
27797,AC016747.1,TMEM270,KRTAP5-AS1,SEMA5A-AS1
27798,IL20RB-AS1,AC015914.1,HS3ST1,AL512283.2
27799,ZFPM2-AS1,LINC00489,AL078602.1,ARHGEF35
27800,PLAC4,LINC00628,FAM185A,TTC24
27801,KLRC1,AC024270.2,DOK6,AC008055.2
27802,ZNF180,AC091838.1,MSS51,AC104574.2
27803,CD3D,AP005264.1,MED26,AC005730.3
27804,AC091167.5,AC079790.1,RCOR2,CCDC195
27805,AL109923.1,MAB21L2,AMIGO2,AC005609.2
27806,PDGFA,AC009779.5,TMEM134,LINC02530
27807,OR1I1,AC034238.1,SMPD1,F2RL3
27808,NCAM1,KIZ-AS1,EXOSC8,LINC01360
27809,AP000943.1,EGFLAM-AS1,AC008462.1,BX088723.1
27810,AC111149.2,AP002815.1,SMG9,OR5B21
27811,WDFY3-AS2,AC006441.3,CELF2,AC098969.1
27812,POU4F1,AC018861.2,ZNF440,AC019185.2
27813,ZNF672,AC087260.1,PI4KB,AL353708.3
27814,LINC00582,AC096647.1,C1orf146,LINC02622
27815,AP002892.1,AC007402.1,AL354897.1,LINC00470
27816,AC005786.2,AL352955.1,ZNF723,AL136172.1
27817,LRIF1,TMC7,DLGAP1-AS3,SERPINA10
27818,VNN2,ZMYND15,PREX1,AL451054.4
27819,SLC15A5,PANCR,ARHGDIA,AL592164.1
27820,LINC01592,AL590730.1,MDM4,AL355310.3
27821,NOXRED1,MTNR1B,GAN,OOSP4B
27822,LRRC18,RETNLB,CDH10,TMLHE-AS1
27823,AC130343.1,ARMC9,OSCP1,AL138899.1
27824,AP001628.1,SMIM21,ZNF674,AC109635.7
27825,PPIAL4A,SSX7,CAPN3,LINC02438
27826,U47924.1,AL161912.1,LINC02136,LCE5A
27827,PRAMEF11,LINC02629,AC090340.1,LINC01548
27828,SPAG11A,AC012184.4,ZNF605,AC084782.3
27829,AC092138.1,C2orf50,AL109824.1,AC063965.2
27830,AC009987.1,LINC02534,CSNK1G2,KRTAP5-8
27831,IGKV2D-24,AC005329.3,AL139807.1,ISL2
27832,CASKIN2,AP003306.1,RAG2,LINC02206
27833,JOSD2,AL365181.2,MCL1,AL358972.1
27834,AL109838.1,AL157414.1,SLFNL1-AS1,LINC02724
27835,SIM2,HIST1H4I,MTA1,LCN6
27836,AC133040.1,AL357054.4,BBOF1,AL034422.1
27837,SMARCA5,ALDH1L2,DCAF17,THRA1/BTR
27838,AL135937.1,AC084759.2,TANGO6,POU2AF1
27839,AC018553.2,ZNF341-AS1,ARMCX1,AC003087.1
27840,PGM5P4-AS1,SCN8A,CLIP3,SFRP5
27841,LINC02267,LINC02837,GUSB,AC026402.2
27842,CYYR1,ACTRT1,SIX4,AC096543.2
27843,AC121764.2,AC109642.1,CLCN7,AC104823.1
27844,CHRNB1,SLX1B,RAB30-DT,AL365184.2
27845,ANKRD26,AC004408.1,B3GALT5,LINC01400
27846,ZDHHC3,AL627309.1,ADCY6,AP001531.1
27847,SLC2A1,SLC17A2,SLC2A1,LINC02090
27848,C14orf119,OR2A5,ZNF121,ZBTB12
27849,ZNF440,SLAMF6,ZFP62,AL589986.1
27850,DRD3,AC023855.1,RAB43,AP001116.1
27851,GET4,TEX26,RUFY1,AC017104.6
27852,EFCAB10,AC119403.1,GAS2L1,AC007879.4
27853,ZNF888,MANEA-DT,UQCC3,AC006960.2
27854,LINC01192,AL355501.1,ZMIZ2,AC136188.1
27855,TMEM185B,AGBL4,CBWD1,AC099482.2
27856,ZC3H12D,OTOP3,IKZF2,RNF151
27857,ZNF649,RIC3-DT,ODF2,AC063943.1
27858,AC107892.1,AP000696.2,ASTE1,AC036222.1
27859,AC008914.1,AL589765.7,NIPSNAP3A,AL355601.1
27860,Z82244.2,LINC00560,TMEM209,AC108457.1
27861,AC022167.1,LINC02816,AC005920.2,IFNG
27862,RAB11B,AC097381.2,IGFBP7,ZPBP2
27863,AC092691.3,IL20RB-AS1,SMIM24,HS3ST6
27864,AC006019.3,GOSR1,PXK,OR2T33
27865,TERF2,AC090398.2,IL1RAP,AC017028.2
27866,AC012499.1,FLT4,FOXG1-AS1,AP000281.2
27867,ZPLD1,AC032044.1,SCAND1,CKAP2L
27868,ABRAXAS1,AKAP10,ASCC2,GATA5
27869,STAT6,AP000424.1,MTERF3,AC092617.1
27870,AC084018.1,PRAME,ANO2,AC093283.1
27871,CD34,LINC00052,SMAD3,UBE2U
27872,AC093904.2,HHLA2,AL731577.2,AC004930.1
27873,HIST1H4A,PCDHB16,MTMR14,AC020907.4
27874,ZSCAN2,LINC01653,ROS1,AC105460.2
27875,DUSP27,AC055855.1,FKBP2,AL355361.1
27876,SMCR5,FAM245A,SNHG20,AC009803.1
27877,ITGB3,AC027682.3,REXO1,TMIGD1
27878,MAGED4,AC068944.1,TTYH2,AC016687.3
27879,AP000345.3,ENOX1-AS2,RIPPLY2,AC026786.2
27880,AL391152.1,AC106820.5,HPS5,AP001631.1
27881,PPM1M,ZDHHC20-IT1,SCARF2,AC008543.4
27882,JPH2,AC020978.6,SLC25A17,AC087863.2
27883,MYRFL,PPM1D,TVP23B,OR8B3
27884,SS18L2,DANT1,MRPL49,TUBB1
27885,PHOSPHO2,AC083900.1,C4orf19,AL121578.2
27886,AL031259.1,AC096733.1,PNMA3,LINC01040
27887,PPP3R1,GATAD2A,PHF21B,Z98257.1
27888,C4A,LACTBL1,TMEM163,AC114802.1
27889,AC093577.1,AL139120.1,OR2T6,IFITM2
27890,LY6G5C,AC136628.4,GTPBP1,AC112229.2
27891,GLIPR1L2,GPR35,MFSD12,AC111198.1
27892,ANKRD53,LINC02056,SRM,AC010451.1
27893,LINC02422,AC093390.1,ZNF511,AL133387.2
27894,AL024507.2,AL157895.1,SVEP1,AC093083.1
27895,ITGB2-AS1,LINC02688,SNX24,AC019103.1
27896,LINC02709,AC021683.6,TNFAIP1,AL138921.2
27897,AC004870.4,SLFN14,BET1L,EDN3
27898,LZTFL1,COMMD10,ATAD2B,AL034546.1
27899,APOOL,AC012349.1,SPAST,HMBOX1-IT1
27900,AC005674.1,PKIG,RNF126,IRX4
27901,CFAP46,LINC01436,CABLES2,GTSE1-DT
27902,AC012301.1,AC015909.1,URB2,LINC00945
27903,ECEL1,RFPL3S,ADAMTS19-AS1,AC073284.1
27904,SSC4D,AP002907.1,ZGPAT,COX4I2
27905,AC131953.2,ARHGEF7-IT1,MEIS2,AC026401.3
27906,ARFIP1,AC013248.1,FUNDC2,ZNF114-AS1
27907,AP000281.2,AC147651.4,PIK3R2,AC006441.1
27908,SVEP1,AC008629.1,GPC1,LINC02734
27909,NSL1,LINC00602,TRIL,PINCR
27910,AC108471.3,HIST1H2BL,SORL1,SLITRK6
27911,CCDC28A,AC012507.3,MAGOHB,PAGE2
27912,AC141930.1,LINC01547,SERTAD4,U91328.2
27913,DDX50,AC022784.5,SLC49A4,AL354994.1
27914,TRIM13,AC124947.1,ZNF423,DEFB112
27915,AC126773.4,ZC2HC1A,TMEM170A,AC012456.2
27916,MPZL3,C12orf77,AC126121.3,AC105227.1
27917,PROKR2,AC118755.1,GSR,AC104758.5
27918,ZNF30-AS1,AC024084.1,EEF1AKNMT,OSM
27919,AC004947.3,AC108517.1,NXPH2,OCLM
27920,CNFN,ESPN,ZC3H4,AL512358.1
27921,KLHL18,TRIML1,UVRAG,AL356275.1
27922,AC011473.3,LINC00398,MIR3976HG,AC092316.1
27923,HACE1,AC069421.2,DUS4L,CACNA1C-IT1
27924,NBPF12,AC087667.1,NUBP1,TSSK2
27925,COQ5,AC096677.2,PPP1R12C,SLC25A21
27926,ADH4,AC012379.2,LINC02035,AL139022.2
27927,AC007535.1,AC113208.4,AC079226.2,CDH16
27928,SIX2,AC108868.1,RAP1B,AC023468.1
27929,SEC23B,NUTM2B,ZNF814,AC007278.1
27930,FYB2,KRTAP4-7,AC093523.1,AC114730.3
27931,PPP4R1,TRBJ2-7,CEP97,LHX9
27932,IGF2,CHRDL2,SLC6A9,AL445218.1
27933,TRPM8,SLC23A1,ZNF385D,AP003396.1
27934,LINC00374,AC005702.5,TMEM19,AC021242.3
27935,CEP295NL,PANDAR,ZXDB,IRX5
27936,AC012101.2,AP006748.1,WDR63,AL034346.1
27937,CAV1,ZNF785,DCLRE1A,AL359382.2
27938,AC079414.3,CFHR3,SNRPC,SKA1
27939,AL157896.1,AC079163.1,SHTN1,AC013451.1
27940,AC079465.1,ENTPD3-AS1,TAZ,AL390835.1
27941,AC092053.6,SERPINB11,GSN,AL049541.2
27942,LINC02149,AC127526.2,MRPL11,AL161669.1
27943,AC005261.1,TAAR2,NDST2,AC025166.1
27944,TPM4,AL162400.3,AL031846.2,SPATA17-AS1
27945,TMEM65,LINC02291,SEC24B-AS1,LINC02344
27946,AC009567.1,AC084125.4,AC009118.3,PRSS54
27947,AL355432.1,AL445465.2,GALNT17,AC006974.2
27948,LINC01483,LINC00200,GANC,AC016240.1
27949,SPDYE1,HCAR1,TOR1A,C1QTNF9
27950,TEAD4,AL022322.2,NBEA,PLAAT2
27951,AC092431.1,BICRA-AS1,CNNM3,LINC01282
27952,LEAP2,AC017071.1,PPP1R1A,AC093606.1
27953,AC013270.1,SLITRK6,NKIRAS2,AC019069.1
27954,FBXL5,AC011365.1,ARV1,AL136980.1
27955,AP002008.1,ATP11A-AS1,PARP8,FOXN3-AS2
27956,IQCF1,AL160262.1,PTCD2,AC109439.2
27957,RSPO4,RNF222,AC104335.1,AL357375.1
27958,B3GALT5-AS1,NAALAD2,NECAB2,AC010536.3
27959,OR52I1,ANKRD30A,PRC1,TMEM78
27960,AC023908.3,AC138356.3,RASA2,TBX18-AS1
27961,FAM83G,AL353600.2,PLA2G15,AC231656.1
27962,SEC14L4,OR2T33,ZNF561,AC005722.4
27963,AC092944.1,AC093801.1,AC060780.1,AC022215.2
27964,AP005530.1,LYVE1,CACNA2D3-AS1,AC009869.1
27965,CISD2,FSTL1,RPAP1,AL161668.1
27966,NDUFA2,Z95115.2,AC104964.3,LINC00559
27967,AC090541.1,AC069287.2,AC025171.1,OR1M1
27968,LRRC74A,AL139317.3,SPTBN4,AC022201.2
27969,GGPS1,LINC00266-4P,SENP8,AC023794.6
27970,AC005682.2,LINC01271,AC018754.1,AC129510.1
27971,SCAMP4,AL357793.1,GAB1,AC034229.2
27972,LINC02854,LINC00347,VAMP3,AC073046.1
27973,SAMD9L,AC007684.2,MPDU1,MMP13
27974,AC020908.2,KRT26,NUDT10,AC093904.1
27975,AL049795.2,SLC37A2,LIG4,TTTY22
27976,GOLGA8F,OR56A5,RBM15-AS1,AC015722.2
27977,AC006482.1,AC131211.1,PIWIL4,PPP1R2B
27978,AC013457.1,PRICKLE2-AS2,CACHD1,AC097713.3
27979,AC133480.1,AC084082.1,ZNHIT1,AL583839.1
27980,AC243773.1,AL358075.1,AFAP1L2,KRT14
27981,SCRIB,LINC01939,AC090517.5,AC104758.4
27982,IGSF9,TPX2,SNW1,HLA-DQB1-AS1
27983,AC090772.3,AC122134.1,ARF6,OR4K17
27984,CIZ1,OR52E2,PANX1,AL929091.1
27985,ADNP-AS1,AC006019.1,GPR61,KRT39
27986,ANKRD20A3,AL022098.1,SLC39A7,AL031728.1
27987,AL354897.1,AC008154.2,PHKA2,AL713851.2
27988,TMEM59,WFDC1,LINC01934,PKHD1
27989,PLCG1-AS1,GALNT18,TSEN54,CCER1
27990,AC016044.1,CD6,DKC1,AC002542.6
27991,CR392000.2,AC116651.1,LRRC17,AL450313.1
27992,SLX1A,KRT73-AS1,STT3A,LINC00841
27993,NIPA2,AL031848.1,KIAA2012,AF250324.1
27994,AC010638.1,AL359979.2,PRMT5,OR2J3
27995,RGS13,AC244035.1,TRMT2B,AC128709.3
27996,AC016737.2,SALRNA3,LINC01586,AC007728.2
27997,SLC26A6,AC026782.2,CLGN,AL023881.1
27998,AC132192.1,AC069503.3,MED19,AC012555.1
27999,TMEM267,AP003071.3,YJEFN3,LINC02580
28000,PHIP,AL121832.2,TRMT44,AL137060.3
28001,SLC34A2,CST4,RBM15B,AC003986.3
28002,LINC02541,FCRL5,AP002381.2,HDAC4-AS1
28003,RASGRP4,LINC00635,PRRT1,APELA
28004,C1QBP,ARL5C,TSR3,AC005998.1
28005,UGGT1,AC008395.1,MATK,FAM243B
28006,Z98257.1,OPRPN,PDE8A,AC003965.1
28007,AC036176.3,AC091059.1,TMEM147,AL356218.2
